stock_id,stock_name,reason
1785,光洋科,除息
2235,謚源,除息
2596,綠意,除息
2640,大車隊,除息
2937,集雅社,除息
3131,弘塑,除息
3219,倚強科,除息
3293,鈊象,除權息
3531,先益,除息
3556,禾瑞亞,除權息
3567,逸昌,除息
3631,晟楠,除息
4305,世坤,除息
4417,金洲,除息
4971,IET-KY,除息
5011,久陽,除息
5011,久陽,現金增資
5014,建錩,除息
5213,亞昕,除權
5289,宜鼎,除權息
5299,杰力,除息
5371,中光電,除息
5425,台半,除息
5443,均豪,除息
5530,龍巖,除息
6015,宏遠證,除權息
6138,茂達,除息
6175,立敦,除息
6190,萬泰科,除息
6244,茂迪,現金增資
6244,茂迪,除息
6263,普萊德,除息
6270,倍微,除息
6290,良維,除息
6472,保瑞,臨時會
6664,群翊,除息
6829,千附精密,除息
8044,網家,除息
8085,福華,除息
8155,博智,除息
8383,千附,除息
8390,金益鼎,除息
