stock_id,stock_name,reason,category,start_date,end_date
1316,上曜,現金增資,資本活動,112.08.16,112.08.21
1475,業旺,除息,股利發放,112.08.15,112.08.18
1516,川飛,除權息,股利發放,112.08.16,112.08.21
1537,廣隆,除息,股利發放,112.08.17,112.08.22
1597,直得,除息,股利發放,112.08.15,112.08.18
1737,臺鹽,除息,股利發放,112.08.17,112.08.22
3002,歐格,除息,股利發放,112.08.16,112.08.21
3027,盛達,除息,股利發放,112.08.15,112.08.18
3036,文曄,除息,股利發放,112.08.14,112.08.17
3056,富華新,除權息,股利發放,112.08.14,112.08.17
3653,健策,除息,股利發放,112.08.17,112.08.22
5222,全訊,除權,股利發放,112.08.17,112.08.22
6177,達麗,除權息,股利發放,112.08.17,112.08.22
6183,關貿,除息,股利發放,112.08.16,112.08.21
6796,晉弘,現金增資,資本活動,112.08.16,112.08.21
6806,森崴能源,除息,股利發放,112.08.17,112.08.22
9931,欣高,除權,股利發放,112.08.17,112.08.22
