stock_id,stock_name,reason,category,start_date,end_date
1315,達新,除息,股利發放,110.06.25,110.06.30
1909,榮成,除息,股利發放,110.06.25,110.06.30
2353,宏��,除息,股利發放,110.06.24,110.06.29
2451,創見,除息,股利發放,110.06.29,110.07.02
2867,三商壽,現金增資,資本活動,110.06.29,110.07.02
2908,特力,除息,股利發放,110.06.29,110.07.02
3021,鴻名,除息,股利發放,110.06.25,110.06.30
3031,佰鴻,除息,股利發放,110.06.28,110.07.01
3092,鴻碩,除息,股利發放,110.06.29,110.07.02
3515,華擎,除息,股利發放,110.06.24,110.06.29
3528,安馳,除息,股利發放,110.06.25,110.06.30
3703,欣陸,除息,股利發放,110.06.25,110.06.30
4938,和碩,除息,股利發放,110.06.24,110.06.29
4958,臻鼎-KY,除息,股利發放,110.06.24,110.06.29
4999,鑫禾,除息,股利發放,110.06.25,110.06.30
6477,安集,除息,股利發放,110.06.29,110.07.02
6698,旭暉應材,除息,股利發放,110.06.25,110.06.30
8341,日友,除息,股利發放,110.06.29,110.07.02
8454,富邦媒,除權息,股利發放,110.06.29,110.07.02
8481,政伸,除息,股利發放,110.06.29,110.07.02
