stock_id,stock_name,reason
1102,¨Èªd,°£®§
1304,¥x»E,°£®§
1305,µØ®L,°£®§
1308,¨È»E,°£®§
1309,¥x¹F¤Æ,°£Åv®§
1402,»·ªF·s,°£®§
1442,¦W°a,°£®§
1463,±j²±,°£®§
1470,¤j²Î·s³Ð,°£®§
1473,¥x«n,°£®§
1474,¥°¸Î,°£®§
1519,µØ«°,°£®§
1525,¦¿¥Ó,°£®§
1540,³ìºÖ,°£®§
1558,¦ù¿³,°£®§
1617,ºa¬P,°£®§
1717,ªø¿³,°£®§
1720,¥Í¹F,°£®§
1730,ªá¥P¤l,°£®§
1810,©M¦¨,°£®§
2228,¼CÅï,°£®§
2233,¦t¶©,°£®§
2233,¦t¶©,Á{®É·|
2250,IKKA-KY,°£®§
2312,ª÷Ä_,°£®§
2332,¤Í°T,°£®§
2348,®ü®®,°£Åv®§
2352,¨Î¥@¹F,°£®§
2357,µØºÓ,°£®§
2382,¼s¹F,°£®§
2402,¼Ý¹Å,°£®§
2427,¤T°Ó¹q,°£®§
2431,Áp©÷,°£®§
2472,¥ß¶©¹q,°£®§
2495,´¶¦w,°£®§
2511,¤Ó¤l,°£®§
2520,«a¼w,°£®§
2537,Áp¤Wµo,°£®§
2546,®Ú°ò,°£Åv®§
2834,»O¥ø»È,°£Åv®§
2836,°ª¶¯»È,°£Åv®§
2881,´I¨¹ª÷,°£®§
2884,¥É¤sª÷,°£Åv®§
2889,°ê²¼ª÷,°£Åv
3062,«Øº~,°£®§
3094,Áp³Ç,°£®§
3167,¤j¶q,°£®§
3189,´ººÓ,°£®§
3311,¶£·u,°£®§
3406,¥É´¹¥ú,°£®§
3432,¥xºÝ,°£®§
3454,´¹ºÍ,°£®§
3501,ºû¿Q,°£®§
3545,´°®õ,°£®§
3588,³q¹Å,°£Åv®§
4106,Ü¦³Õ,°£®§
4137,ÄRÂ×-KY,°£®§
4526,ªF¥x,°£®§
4536,©Ý³Í,°£®§
4551,´¼¦ù¬ì,°£®§
4566,®ÉºÓ¤u·~,°£®§
4720,¼w²W,°£®§
4746,¥xÄ£,°£®§
4919,·s­ð,°£®§
4989,ºa¬ì,°£®§
5515,«Ø°ê,°£®§
5706,»ñ°Ä,°£Åv®§
6177,¹FÄR,°£®§
6239,¤O¦¨,°£®§
6277,§»¥¿,°£®§
6414,¾ìº~,°£®§
6442,¥ú¸t,°£®§
6451,°Tªä-KY,°£®§
6464,¥x¼Æ¬ì,°£Åv®§
6671,¤T¯à-KY,°£®§
6706,´f¯S,°£®§
8110,µØªF,°£®§
8404,¦Ê©M¿³·~-KY,°£®§
8478,ªF­ô¹C¸¥,°£®§
9908,¤j¥x¥_,°£®§
9935,¼yÂ×´I,°£®§
